Index,Name,Band,PC,RA,DEC,Flux,Quality
32,J0106-405,U,B,01h06m45.107966s,-40d34m19.960360s,5.1,P
33,J0108+015,U,B,01h08m38.771074s,01d35m00.317140s,4.5,S
79,J0238+166,U,A,02h38m38.930108s,16d36m59.274710s,3.3,P
95,J0319+415,U,B,03h19m48.160102s,41d30m42.103050s,20.7,P
115,J0359+509,U,B,03h59m29.747262s,50d57m50.161510s,3.5,S
119,J0403-360,U,B,04h03m53.749908s,-36d05m01.913200s,4.2,P
131,J0423-013,U,A,04h23m15.800727s,-01d20m33.065310s,4.3,P
142,J0433+053,U,A,04h33m11.095535s,05d21m15.619420s,3.1,S
155,J0501-019,U,A,05h01m12.809888s,-01d59m14.256200s,3.1,P
172,J0530+135,U,A,05h30m56.416744s,13d31m55.149550s,3.2,P
178,J0538-440,U,A,05h38m50.361551s,-44d05m08.939080s,4.5,P
198,J0609-157,U,A,06h09m40.949538s,-15d42m40.672640s,9.0,S
244,J0750+125,U,A,07h50m52.045731s,12d31m04.828160s,3.6,P
276,J0854+201,U,A,08h54m48.874925s,20d06m30.640880s,3.0,P
287,J0927+390,U,A,09h27m03.013916s,39d02m20.851950s,6.6,P
328,J1058+015,U,A,10h58m29.605209s,01d33m58.823720s,4.0,P
348,J1147-382,U,A,11h47m01.370704s,-38d12m11.023530s,3.5,S
370,J1215-175,U,A,12h15m46.751770s,-17d31m45.402890s,4.4,S
380,J1229+020,U,B,12h29m06.699729s,02d03m08.598190s,34.0,X
390,J1256-057,U,B,12h56m11.166560s,-05d47m21.524580s,21.8,S
410,J1331+305,U,A,13h31m08.287984s,30d30m32.958850s,3.4,S
411,J1337-129,U,A,13h37m39.782780s,-12d57m24.693230s,3.0,S
451,J1427-421,U,A,14h27m56.297560s,-42d06m19.437620s,3.0,S
520,J1635+381,U,A,16h35m15.492973s,38d08m04.500600s,3.3,P
529,J1642+398,U,A,16h42m58.809951s,39d48m36.993950s,13.0,S
555,J1733-130,U,B,17h33m02.705790s,-13d04m49.548230s,11.0,P
564,J1743-038,U,A,17h43m58.856137s,-03d50m04.616680s,3.8,P
571,J1751+096,U,A,17h51m32.818573s,09d39m00.728510s,4.5,P
576,J1800+784,U,A,18h00m45.683918s,78d28m04.018510s,3.0,P
594,J1833-210,U,C,18h33m39.9150s,-21d03m40.050s,5.22,S
609,J1924-292,U,A,19h24m51.055957s,-29d14m30.121150s,17.0,P
652,J2038+513,U,A,20h38m37.034755s,51d19m12.662690s,3.3,S
668,J2123+055,U,A,21h23m44.517391s,05d35m22.093210s,7.0,P
674,J2131-121,U,A,21h31m35.261758s,-12d07m04.795880s,3.5,P
676,J2136+006,U,B,21h36m38.586299s,00d41m54.213350s,4.0,P
682,J2148+069,U,A,21h48m05.458679s,06d57m38.604220s,3.0,P
692,J2202+422,U,A,22h02m43.291377s,42d16m39.979940s,3.5,P
706,J2225-049,U,A,22h25m47.259291s,-04d57m01.390730s,6.6,P
711,J2232+117,U,B,22h32m36.408914s,11d43m50.904100s,3.4,S
724,J2253+161,U,A,22h53m57.747932s,16d08m53.560890s,15.0,P
