Index,Name,Band,PC,RA,DEC,Flux,Quality
2,J0006-063,U,A,00h06m13.892894s,-06d23m35.335300s,1.1,P
13,J0019+203,U,A,00h19m37.854504s,20d21m45.644610s,1.1,P
14,J0019+734,U,A,00h19m45.786427s,73d27m30.017450s,1.4,P
19,J0025-260,U,C,00h25m49.1683s,-26d02m12.695s,1.5,S
21,J0038+416,U,A,00h38m24.843610s,41d37m06.000570s,1.3,P
25,J0050-094,U,A,00h50m41.317390s,-09d29m05.210210s,1.7,P
30,J0102+584,U,A,01h02m45.762384s,58d24m11.136620s,2.3,P
32,J0106-405,U,B,01h06m45.107966s,-40d34m19.960360s,5.1,P
33,J0108+015,U,B,01h08m38.771074s,01d35m00.317140s,4.5,S
41,J0115-014,U,A,01h15m17.099972s,-01d27m04.577370s,1.7,P
42,J0116-116,U,A,01h16m12.521963s,-11d36m15.434050s,1.1,P
45,J0121+118,U,A,01h21m41.595043s,11d49m50.413130s,1.06,S
46,J0121+043,U,A,01h21m56.861699s,04d22m24.734360s,1.2,P
48,J0125-000,U,A,01h25m28.843788s,-00d05m55.931800s,1.5,P
51,J0136+478,U,A,01h36m58.594810s,47d51m29.100060s,1.6,P
53,J0137+331,U,B,01h37m41.299431s,33d09m35.132990s,1.78,P
54,J0141-094,U,A,01h41m25.832025s,-09d28m43.673810s,1.6,S
59,J0152+221,U,A,01h52m18.059047s,22d07m07.700040s,1.3,S
65,J0204+152,U,A,02h04m50.413904s,15d14m11.043460s,2.0,P
67,J0205+322,U,A,02h05m04.925371s,32d12m30.095600s,1.4,S
69,J0217+738,U,A,02h17m30.813363s,73d49m32.621760s,2.1,P
70,J0217+017,U,A,02h17m48.954740s,01d44m49.699090s,1.4,S
72,J0221+359,U,C,02h21m05.4733s,35d56m13.791s,1.1,S
74,J0224+069,U,A,02h24m28.428190s,06d59m23.341640s,1.4,S
75,J0226+343,U,A,02h26m10.333198s,34d21m30.286450s,1.1,P
76,J0228+673,U,A,02h28m50.051459s,67d21m03.029260s,2.3,P
77,J0231+133,U,A,02h31m45.894054s,13d22m54.716270s,2.5,S
78,J0237+288,U,A,02h37m52.405678s,28d48m08.990080s,2.5,P
79,J0238+166,U,A,02h38m38.930108s,16d36m59.274710s,3.3,P
80,J0239-025,U,A,02h39m45.472266s,-02d34m40.914300s,1.0,S
84,J0242+110,U,A,02h42m29.170847s,11d01m00.728230s,1.0,S
85,J0244+624,U,B,02h44m57.696827s,62d28m06.514590s,1.25,P
87,J0251+432,U,A,02h51m34.536779s,43d15m15.828580s,1.1,S
90,J0303+472,U,A,03h03m35.242226s,47d16m16.275460s,2.9,P
92,J0309+104,U,A,03h09m03.623523s,10d29m16.340820s,1.1,S
95,J0319+415,U,B,03h19m48.160102s,41d30m42.103050s,20.7,P
99,J0325+226,U,A,03h25m36.814375s,22d24m00.365180s,1.14,P
100,J0329-239,U,A,03h29m54.075537s,-23d57m08.773300s,1.0,S
102,J0334-401,U,B,03h34m13.654494s,-40d08m25.397980s,1.55,P
104,J0336+323,U,A,03h36m30.107599s,32d18m29.342390s,1.56,P
105,J0339-017,U,A,03h39m30.937787s,-01d46m35.803990s,2.35,S
106,J0340-213,U,A,03h40m35.607864s,-21d19m31.172230s,1.0,S
109,J0348-278,U,A,03h48m38.144561s,-27d49m13.565300s,2.2,P
115,J0359+509,U,B,03h59m29.747262s,50d57m50.161510s,3.5,S
116,J0359+323,U,A,03h59m44.912900s,32d20m47.155500s,1.1,P
119,J0403-360,U,B,04h03m53.749908s,-36d05m01.913200s,4.2,P
120,J0405-131,U,A,04h05m34.003401s,-13d08m13.691050s,1.9,S
122,J0406-384,U,A,04h06m59.035347s,-38d26m28.042060s,2.0,P
125,J0410+769,U,C,04h10m45.6057s,76d56m45.301s,1.46,P
127,J0416-188,U,A,04h16m36.544466s,-18d51m08.340120s,1.1,P
131,J0423-013,U,A,04h23m15.800727s,-01d20m33.065310s,4.3,P
134,J0424-379,U,A,04h24m42.243727s,-37d56m20.784230s,1.3,P
139,J0428-379,U,A,04h28m40.424306s,-37d56m19.580310s,1.3,P
140,J0431+206,U,B,04h31m03.7620s,20d37m34.250s,1.1,S
141,J0432+416,U,A,04h32m36.502609s,41d38m28.448550s,1.6,P
142,J0433+053,U,A,04h33m11.095535s,05d21m15.619420s,3.1,S
144,J0440-435,U,A,04h40m17.179992s,-43d33m08.604060s,2.0,S
146,J0442-002,U,A,04h42m38.660762s,-00d17m43.419100s,1.1,S
148,J0449+113,U,A,04h49m07.671119s,11d21m28.596620s,1.1,P
149,J0449+635,U,A,04h49m23.310586s,63d32m09.434490s,1.0,S
150,J0449-391,U,C,04h49m42.2594s,-39d11m09.056s,1.0,P
151,J0453-281,U,A,04h53m14.646807s,-28d07m37.327600s,1.1,P
152,J0457-234,U,A,04h57m03.179230s,-23d24m52.020050s,1.5,P
155,J0501-019,U,A,05h01m12.809888s,-01d59m14.256200s,3.1,P
159,J0503+020,U,A,05h03m21.197177s,02d03m04.676380s,1.1,P
164,J0510+180,U,A,05h10m02.369122s,18d00m41.581710s,1.0,P
166,J0513-219,U,A,05h13m49.114326s,-21d59m16.092020s,1.0,P
169,J0521+166,U,A,05h21m09.886021s,16d38m22.051220s,1.56,S
172,J0530+135,U,A,05h30m56.416744s,13d31m55.149550s,3.2,P
173,J0532+075,U,A,05h32m38.998531s,07d32m43.345860s,2.2,P
178,J0538-440,U,A,05h38m50.361551s,-44d05m08.939080s,4.5,P
182,J0541-056,U,A,05h41m38.083384s,-05d41m49.428390s,1.3,P
183,J0542+498,U,A,05h42m36.137916s,49d51m07.233560s,2.78,S
187,J0555+398,U,A,05h55m30.805608s,39d48m49.165000s,2.8,P
193,J0605+405,U,A,06h05m50.855350s,40d30m08.103030s,1.1,P
196,J0607-085,U,A,06h07m59.699243s,-08d34m49.978150s,2.1,P
198,J0609-157,U,A,06h09m40.949538s,-15d42m40.672640s,9.0,S
209,J0639+734,U,A,06h39m21.961192s,73d24m58.040490s,1.1,S
213,J0646+448,U,A,06h46m32.025985s,44d51m16.590130s,2.5,P
215,J0650-166,U,A,06h50m24.581852s,-16d37m39.725000s,2.7,S
220,J0700+171,U,A,07h00m01.525538s,17d09m21.701540s,1.0,P
227,J0725-009,U,A,07h25m50.639953s,-00d54m56.544380s,1.1,P
230,J0730-116,U,A,07h30m19.112472s,-11d41m12.600480s,2.5,P
233,J0735-175,U,A,07h35m45.812488s,-17d35m48.502230s,1.0,P
234,J0738+177,U,A,07h38m07.393747s,17d42m18.998270s,1.9,P
235,J0739+016,U,A,07h39m18.033894s,01d37m04.618030s,2.05,P
236,J0741+312,U,A,07h41m10.703308s,31d12m00.228620s,1.0,P
237,J0744-064,U,C,07h44m21.6605s,-06d29m35.888s,1.0,S
238,J0745+101,U,A,07h45m33.059511s,10d11m12.692470s,2.2,P
240,J0745-007,U,B,07h45m54.082313s,-00d44m17.539800s,1.2,P
243,J0750+482,U,A,07h50m20.436304s,48d14m53.556410s,1.6,P
244,J0750+125,U,A,07h50m52.045731s,12d31m04.828160s,3.6,P
246,J0753+538,U,A,07h53m01.384573s,53d52m59.637160s,1.6,P
247,J0757+099,U,A,07h57m06.642936s,09d56m34.852100s,1.5,P
249,J0808-078,U,A,08h08m15.536036s,-07d51m09.886340s,2.6,P
250,J0808+498,U,A,08h08m39.666274s,49d50m36.530460s,1.0,P
251,J0808+408,U,A,08h08m56.652038s,40d52m44.888890s,1.15,P
252,J0811+017,U,A,08h11m26.707322s,01d46m52.220020s,1.3,P
254,J0818+423,U,A,08h18m15.999602s,42d22m45.414940s,1.8,S
255,J0820-129,U,A,08h20m57.447616s,-12d58m59.169490s,1.2,S
256,J0823+223,U,A,08h23m24.759174s,22d23m03.288070s,1.0,S
258,J0824+392,U,A,08h24m55.483865s,39d16m41.904300s,1.38,P
259,J0825+031,U,A,08h25m50.338355s,03d09m24.520140s,2.7,P
260,J0826-225,U,A,08h26m01.572909s,-22d30m27.202110s,1.0,S
261,J0828-375,U,A,08h28m04.780268s,-37d31m06.280640s,2.5,P
262,J0830+241,U,A,08h30m52.086192s,24d10m59.820460s,1.5,S
264,J0832+492,U,A,08h32m23.216688s,49d13m21.038230s,1.2,S
265,J0834+555,U,A,08h34m54.904117s,55d34m21.070980s,1.6,P
267,J0836-202,U,A,08h36m39.215215s,-20d16m59.503500s,1.1,P
269,J0837+584,U,A,08h37m22.409733s,58d25m01.845210s,1.0,S
272,J0840+132,U,B,08h40m47.5890s,13d12m23.5600s,1.0,X
273,J0841+708,U,A,08h41m24.365281s,70d53m42.173090s,2.2,S
276,J0854+201,U,A,08h54m48.874925s,20d06m30.640880s,3.0,P
277,J0900-281,U,C,09h00m40.0390s,-28d08m20.350s,1.33,P
278,J0902-142,U,A,09h02m16.830907s,-14d15m30.875380s,1.6,P
279,J0903+468,U,A,09h03m03.990103s,46d51m04.137530s,1.3,S
280,J0909+013,U,A,09h09m10.091597s,01d21m35.617650s,1.4,P
282,J0920+446,U,A,09h20m58.458480s,44d41m53.985020s,1.5,P
283,J0921-263,U,B,09h21m29.353874s,-26d18m43.386040s,1.9,P
284,J0921+622,U,A,09h21m36.231054s,62d15m52.180350s,1.2,P
285,J0922-399,U,A,09h22m46.418268s,-39d59m35.067510s,1.6,S
287,J0927+390,U,A,09h27m03.013916s,39d02m20.851950s,6.6,P
288,J0927-205,U,A,09h27m51.824323s,-20d34m51.232660s,1.0,S
296,J0958+324,U,A,09h58m20.949621s,32d24m02.209290s,1.1,S
307,J1023+398,U,A,10h23m11.565623s,39d48m15.385390s,1.14,S
315,J1037-295,U,B,10h37m16.079734s,-29d34m02.813220s,1.3,P
320,J1048-191,U,A,10h48m06.620606s,-19d09m35.726950s,1.3,P
321,J1048+717,U,A,10h48m27.619917s,71d43m35.938280s,1.3,P
328,J1058+015,U,A,10h58m29.605209s,01d33m58.823720s,4.0,P
332,J1118+125,U,A,11h18m57.301443s,12d34m41.718060s,1.1,S
337,J1127-189,U,A,11h27m04.392448s,-18d57m17.441660s,2.0,P
338,J1130-148,U,A,11h30m07.052580s,-14d49m27.388160s,2.3,P
339,J1130+382,U,A,11h30m53.282612s,38d15m18.547070s,1.3,P
347,J1146+399,U,A,11h46m58.297907s,39d58m34.304610s,1.6,P
348,J1147-382,U,A,11h47m01.370704s,-38d12m11.023530s,3.5,S
353,J1150-003,U,A,11h50m43.870761s,-00d23m54.204900s,1.4,P
355,J1153+809,U,A,11h53m12.499130s,80d58m29.154510s,1.3,P
356,J1153+495,U,A,11h53m24.466626s,49d31m08.830140s,1.22,S
361,J1159+292,U,A,11h59m31.833911s,29d14m43.826940s,1.3,S
364,J1205-265,U,A,12h05m33.212335s,-26d34m04.464570s,1.0,S
367,J1209-241,U,A,12h09m02.445128s,-24d06m20.759560s,1.0,P
370,J1215-175,U,A,12h15m46.751770s,-17d31m45.402890s,4.4,S
378,J1224+035,U,B,12h24m52.421938s,03d30m50.292910s,1.1,P
379,J1224+213,U,A,12h24m54.458387s,21d22m46.388610s,1.3,X
380,J1229+020,U,B,12h29m06.699729s,02d03m08.598190s,34.0,X
385,J1246-075,U,A,12h46m04.232113s,-07d30m46.574500s,1.6,P
386,J1246-257,U,A,12h46m46.802040s,-25d47m49.288830s,2.2,P
387,J1248-199,U,A,12h48m23.898197s,-19d59m18.587620s,1.0,P
390,J1256-057,U,B,12h56m11.166560s,-05d47m21.524580s,21.8,S
395,J1305-105,U,A,13h05m33.015026s,-10d33m19.428210s,1.2,P
398,J1310+323,U,A,13h10m28.663845s,32d20m43.782950s,2.3,P
402,J1316-336,U,A,13h16m07.985939s,-33d38m59.172500s,1.2,P
406,J1326+319,U,A,13h26m16.512212s,31d54m09.515380s,1.0,S
407,J1327+221,U,A,13h27m00.861311s,22d10m50.163060s,1.6,P
408,J1329+319,U,A,13h29m52.864930s,31d54m11.055010s,1.4,P
409,J1330+251,U,C,13h30m37.6892s,25d09m10.978s,1.6,P
410,J1331+305,U,A,13h31m08.287984s,30d30m32.958850s,3.4,S
411,J1337-129,U,A,13h37m39.782780s,-12d57m24.693230s,3.0,S
420,J1347+122,U,A,13h47m33.361645s,12d17m24.238900s,1.6,P
426,J1354-106,U,C,13h54m46.5118s,-10d41m02.652s,1.99,S
428,J1357+193,U,A,13h57m04.436656s,19d19m07.372340s,1.3,S
436,J1407+284,U,A,14h07m00.394410s,28d27m14.689980s,1.3,P
440,J1415+133,U,A,14h15m58.817499s,13d20m23.712600s,2.0,P
444,J1419+543,U,A,14h19m46.597401s,54d23m14.787210s,1.2,P
451,J1427-421,U,A,14h27m56.297560s,-42d06m19.437620s,3.0,S
464,J1446+173,U,A,14h46m35.346298s,17d21m07.581340s,1.0,P
